feature,asset,mean,std,min,max
log_quote_volume,BTC,18.152106253509462,0.8748052618334944,0.0,21.82375425467021
log_quote_volume,ETH,17.501463719273445,0.8900231971903421,0.0,21.134700447292744
log_quote_volume,XRP,16.017612397091142,1.0090630346208513,0.0,20.453569545630277
log_quote_volume,SOL,16.006579960745732,1.2723512902891279,0.0,20.46737287191572
close_to_ema_12,BTC,0.00011327583594441325,0.00996639721009706,-0.1082271677711113,0.085777433784161
close_to_ema_12,ETH,0.00013134979860310173,0.013117065575276438,-0.1842674302782616,0.1107208153237975
close_to_ema_12,XRP,0.00023967720262582081,0.016655322155618272,-0.2423225974412897,0.3651092172095471
close_to_ema_12,SOL,0.0004819270617483493,0.019466658553328145,-0.248310655982723,0.332419270335774
bar_down,BTC,0.4938951893177245,0.49996844568428017,0.0,1.0
bar_down,ETH,0.49293488201938906,0.49995579725828165,0.0,1.0
bar_down,XRP,0.48429211633436986,0.49975891487262725,0.0,1.0
bar_down,SOL,0.49188311688311687,0.49993982732685455,0.0,1.0
close_to_sma_72,BTC,0.0010343333378584187,0.02980663029014434,-0.2165967256971576,0.1871453058636747
close_to_sma_72,ETH,0.0014400203303709664,0.039767184290051175,-0.2994755774966985,0.364792872611096
close_to_sma_72,XRP,0.00231242820319954,0.051186078388881284,-0.3392852149518373,0.783813471554835
close_to_sma_72,SOL,0.004226973039677082,0.05878086667326614,-0.5203098079169762,0.6247377402465584
sma_cross_6_24,BTC,0.00022927665569326104,0.013322003805899724,-0.0976267772716112,0.092855566835698
sma_cross_6_24,ETH,0.0003023095433260391,0.01757586351488307,-0.1399883893046546,0.117791764524074
sma_cross_6_24,XRP,0.000516918505085039,0.022241760502929815,-0.2310452673788806,0.4098738781339113
sma_cross_6_24,SOL,0.0009562522764089122,0.025883716802925616,-0.2503223179752052,0.2973179919027002
vol_72h,BTC,0.00569702476945489,0.002949625729304206,0.0008891784209634,0.0264724578423791
vol_72h,ETH,0.007436644782811139,0.0039022444557417096,0.001079119995385,0.0377952193698109
vol_72h,XRP,0.009017956230898117,0.005988254174417202,0.0020487334610419,0.058833750785054
vol_72h,SOL,0.01112618095331503,0.006210028447333568,0.002525801504668,0.0534659119588892
trades_z_24,BTC,-0.014039599711502954,1.0558947952670235,-4.606906675981918,4.3427591431242965
trades_z_24,ETH,-0.017488370956213962,1.0503661438767053,-4.566991980529572,4.216398322233084
trades_z_24,XRP,-0.03561753889480048,1.0682710140686777,-4.549960195217457,4.395009357948853
trades_z_24,SOL,-0.02792473422444647,1.055654584726266,-4.457702329197328,4.315328475004694
vol_24h,BTC,0.005463602301070723,0.0033431126251745793,0.0004545989172517,0.0344916370011159
vol_24h,ETH,0.007170925943024736,0.0043629742225763475,0.0005537272243997,0.0521513266273806
vol_24h,XRP,0.008609443637395338,0.006565565535520511,0.0011689069838914,0.0809359597636476
vol_24h,SOL,0.010780652847057554,0.006778547568118054,0.001893330591282,0.0721643417256676
body_pct,BTC,4.2853758506207426e-05,0.006394878822326677,-0.0895447028423772,0.1231586085322297
body_pct,ETH,6.011071940206297e-05,0.008366051369743272,-0.1307936554603319,0.0955546285955209
body_pct,XRP,0.0001155615177385042,0.010823439562362277,-0.2009387485934269,0.2470960929245046
body_pct,SOL,0.00016686889970044254,0.012727686028166098,-0.1925395015474801,0.1870748299318763
close_to_sma_48,BTC,0.0006703234320465795,0.024311885490964528,-0.1835498307911429,0.1778009785286023
close_to_sma_48,ETH,0.0009260204640638697,0.03218660612444352,-0.2781644948434931,0.3020970784074042
close_to_sma_48,XRP,0.0015338586130137096,0.04151351437108719,-0.3320143711318665,0.6502260170735306
close_to_sma_48,SOL,0.00276818256644797,0.04769811136083332,-0.4579875237320548,0.5862592150293815
close_loc,BTC,0.5111025698954453,0.2895227140630698,0.0,0.9999999999999996
close_loc,ETH,0.515273626692003,0.28553025574206436,0.0,0.9999999999999905
close_loc,XRP,0.5208838290631342,0.28754237885476763,0.0,0.9999999999901478
close_loc,SOL,0.5090841433313025,0.2926722897656346,0.0,0.9999999999998868
vol_6h,BTC,0.005031704125870097,0.003989249466695059,0.000142874619668,0.0547685987212435
vol_6h,ETH,0.006641033219127666,0.005163165389697779,0.0002980757262003,0.0785916875240684
