Model,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime
LightGBM,0.01908055693405363,0.5623700770604931,0.05717227793696275,9.444944209222149e-05,0.027515849359429793,0.5516398929049531,0.033639143730886854,2.4602605391411486e-05,btc,long_only,with_cost
Logistic Regression,0.034283074535382804,0.5955120093713302,0.03174247851002865,0.0003239364263533176,0.044625052478840625,0.5588899284125249,0.03620255441626192,0.0003638123010395326,btc,long_only,with_cost
RSI,0.003048313240864416,0.5525309336332959,0.44014336917562724,1.600079954445813e-05,0.004717332293441917,0.5370082240497889,0.43476696059024655,2.438727001342767e-05,btc,long_only,with_cost
SMA,0.024753043247894423,0.5325670498084292,0.07498651321704729,0.0001503005217527743,-0.005829349618067595,0.5223367697594502,0.05489346334416757,-3.715613989821005e-05,btc,long_only,with_cost
XGBoost,-0.011641023967409035,0.5352387407236463,0.19936425501432664,-5.908070868647087e-05,-0.015608451660534723,0.5241328891898452,0.1916711638783954,-9.165982555657813e-05,btc,long_only,with_cost
GRU,0.131812750245302,0.6223037406096094,0.02574914767629643,0.0009434889524828748,0.26792266719608476,0.6782094594594594,0.022481528203279866,0.0021845677547064823,btc,long_only,no_cost
LightGBM,0.08492589267543996,0.5623700770604931,0.05717227793696275,0.0003708391097593084,0.10708448249314517,0.5516398929049531,0.033639143730886854,0.00032836616318765883,btc,long_only,no_cost
Logistic Regression,0.06589100915621476,0.5955120093713302,0.03174247851002865,0.0006144755732823976,0.08011341588810257,0.5588899284125249,0.03620255441626192,0.0006495077211202421,btc,long_only,no_cost
RSI,0.017392808960042937,0.5525309336332959,0.44014336917562724,9.127639009563919e-05,0.018483884968819957,0.5370082240497889,0.43476696059024655,9.55697550100936e-05,btc,long_only,no_cost
SMA,0.027478554871684716,0.5325670498084292,0.07498651321704729,0.00016683947449862353,-0.002716220222903594,0.5223367697594502,0.05489346334416757,-1.7310779073467822e-05,btc,long_only,no_cost
XGBoost,0.037400294662301214,0.5352387407236463,0.19936425501432664,0.0001772705740831247,0.028487747680928478,0.5241328891898452,0.1916711638783954,0.00014444922734374862,btc,long_only,no_cost
GRU,-0.018146788376587033,0.5810484078939745,0.08305306427503736,-9.14546735581356e-05,-0.07057048596263571,0.5092564093290292,0.2175650557620818,-0.00037815006564628024,btc,short_only,with_cost
LightGBM,0.008169591713847728,0.5633287732447847,0.06291946308724833,6.406655999058204e-05,-0.013230161480478925,0.5249153628791046,0.17462451325792694,-6.76726113888395e-05,btc,short_only,with_cost
Logistic Regression,0.00027616252874373536,0.5776403245523343,0.06506338553318419,2.0370037447804653e-05,-0.005502982589185143,0.5341317930467945,0.3461895049137771,-2.1740178282189852e-05,btc,short_only,with_cost
RSI,-0.03396319858154411,0.5304538216560509,0.4971087483678418,-0.00017154315576388456,-0.014643616770335299,0.5195596618832318,0.4905345211581292,-6.898261878769346e-05,btc,short_only,with_cost
SMA,-2.9807427757554073e-05,0.4970745357415416,0.3695158850226929,-1.6626947196755113e-07,-0.013098797757732521,0.4923226907141116,0.3798420458819105,-7.04568150160213e-05,btc,short_only,with_cost
XGBoost,-0.014390549088503067,0.5206021323777004,0.12583892617449666,-7.70666124450786e-05,-0.047606960520998554,0.5007582284140298,0.2514834044131281,-0.00022697552024027043,btc,short_only,with_cost
GRU,0.023787712320443844,0.5810484078939745,0.08305306427503736,0.0001461785988188884,-0.026168885028629227,0.5092564093290292,0.2175650557620818,-0.00017022126074887618,btc,short_only,no_cost
LightGBM,0.05861834908081366,0.5633287732447847,0.06291946308724833,0.0003572959958848494,0.04779733482998086,0.5249153628791046,0.17462451325792694,0.00020985778900064805,btc,short_only,no_cost
Logistic Regression,0.04788944454635457,0.5776403245523343,0.06506338553318419,0.00029291755002586314,0.035754193275994064,0.5341317930467945,0.3461895049137771,0.0001367168668989034,btc,short_only,no_cost
RSI,-0.02051415389452405,0.5304538216560509,0.4971087483678418,-0.00010354952519063616,-0.000842017583864368,0.5195596618832318,0.4905345211581292,-3.963943733634109e-06,btc,short_only,no_cost
