Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Cumulative Return no_cost,Cumulative Return with_cost,Number of Trades no_cost,Number of Trades with_cost,Test Avg Return no_cost,Test Avg Return with_cost,Test Sharpe no_cost,Test Sharpe with_cost,Turnover no_cost,Turnover with_cost,Sharpe Cost Drag,Avg Return Cost Drag,Cumulative Return Cost Drag
BTC,GRU,ML,ohlc_raw,ohlc,raw,long_short,1.346451663249996,0.430539913723686,1102.0,1102.0,0.0001400778974403,8.707596550390591e-05,0.0271328078965065,0.0168710112127079,1414.0,1414.0,0.010261796683798598,5.300193193639409e-05,0.91591174952631
BTC,LightGBM,ML,candle_extended,candle,extended,long_only,-0.0115594353531067,-0.1181700722065647,326.0,326.0,-5.052027783957521e-05,-0.000367464722284,-0.0094820150093627,-0.0688918880598188,326.0,326.0,0.0594098730504561,0.0003169444444444248,0.106610636853458
BTC,LightGBM,ML,candle_extended,candle,extended,long_short,0.2229049509415357,-0.2801177845440986,1512.0,1512.0,0.0002374882978468,-6.302075192687386e-05,0.0534606770746279,-0.0142124454429406,1514.0,1514.0,0.0676731225175685,0.00030050904977367386,0.5030227354856343
BTC,LightGBM,ML,candle_extended,candle,extended,short_only,0.2443586501373364,-0.1976805667291966,1254.0,1254.0,0.0003031619825149,7.805320334604793e-06,0.0718155738675089,0.0018545558703392,1254.0,1254.0,0.06996101799716971,0.00029535666218029517,0.442039216866533
BTC,LightGBM,ML,candle_raw,candle,raw,long_only,0.1650633621701787,-0.3298634125737231,1580.0,1580.0,0.0001860216803325,-0.0001168260743223,0.0304325813931162,-0.0191119946603112,1580.0,1580.0,0.049544576053427394,0.0003028477546548,0.4949267747439018
BTC,LightGBM,ML,candle_raw,candle,raw,long_short,0.1678462629500541,-0.8139242458259563,5233.0,5233.0,4.842066593365863e-05,-0.0001703708032606,0.0100227480558961,-0.0352387223680974,5247.0,5247.0,0.0452614704239935,0.0002187914691942586,0.9817705087760105
BTC,LightGBM,ML,candle_raw,candle,raw,short_only,0.1248983703704051,-0.8184971242684507,5211.0,5211.0,3.9616718167227e-05,-0.0001774465850217,0.0082165184171544,-0.036771266309928,5211.0,5211.0,0.0449877847270824,0.000217063303188927,0.9433954946388557
BTC,LightGBM,ML,ohlc_extended,ohlc,extended,long_only,0.0757761428731398,0.008693533102029,184.0,184.0,0.0007356200867536,0.0004136200867536,0.2330158833505155,0.1311591101235671,184.0,184.0,0.10185677322694842,0.0003220000000000001,0.0670826097711108
BTC,LightGBM,ML,ohlc_extended,ohlc,extended,long_short,0.1584624443616655,-0.0005791851242027,422.0,422.0,0.0006516037672702,0.0003291146843008,0.152621878838161,0.0771828188814271,422.0,422.0,0.0754390599567339,0.00032248908296940004,0.15904162948586822
BTC,LightGBM,ML,ohlc_extended,ohlc,extended,short_only,0.1686701933208751,-0.0723706497356863,660.0,660.0,0.0004253867703793,0.0001173867703793,0.0965841000527898,0.0266584976781414,660.0,660.0,0.0699256023746484,0.000308,0.2410408430565614
